Column1,after_arousal,before_arousal,after_valence,before_valence,weekend,sun,commute,occupants,length,flow,speed,sudden_events,steering,braking,ID
27,3.81101E+14,4.02213E+14,1.04873E+14,8.50801E+14,1,1.4678E+14,0,1,5.9239E+14,5.1845E+13,1.12423E+14,1.16096E+14,-5.6393E+14,-7.05242E+14,1
28,4.83193E+14,5.66672E+14,2.80104E+14,4.92392E+14,1,5.02809E+14,0,0,-2.82623E+14,8.12271E+13,-3.77493E+14,-7.13519E+14,1.54647E+14,-1.40516E+14,1
29,6.36332E+14,6.21492E+14,-3.11146E+14,-1.04955E+14,1,9.25491E+14,0,0,-2.71335E+14,-4.06477E+14,-6.69067E+13,-7.42214E+14,1.49466E+14,-5.77358E+14,1
30,5.3424E+14,7.85952E+14,-7.46462E+14,1.93719E+14,0,1.48375E+14,1,0,6.53383E+14,-5.86618E+14,-6.61616E+14,-3.36221E+12,-4.66241E+14,1.29559E+14,1
31,7.8947E+14,9.50411E+14,6.93979E+14,7.31332E+14,0,1.48375E+14,0,0,2.50138E+14,-2.07948E+14,-5.93862E+14,-3.0964E+14,-6.67767E+14,9.35838E+14,1
32,9.93655E+14,4.57033E+14,1.81735E+14,1.80656E+14,0,1.31229E+14,0,0,-2.3931E+14,7.1258E+14,9.64379E+14,-8.68721E+14,-2.22395E+14,-7.90602E+14,1
33,5.3424E+14,-9.11656E+14,5.75729E+14,3.13188E+14,0,1.48375E+14,1,0,-2.48099E+14,2.54786E+13,-2.08865E+14,-1.23993E+14,-5.8785E+14,5.66731E+14,1
34,-2.2733E+14,-2.3936E+14,-7.46462E+14,7.42491E+13,0,1.48375E+14,1,0,-2.599E+14,2.66355E+14,-1.91914E+14,-5.30646E+14,-4.13494E+14,1.01709E+14,1
35,-1.76284E+14,-1.46166E+14,-3.11146E+14,-1.04955E+14,0,1.48375E+14,0,0,-1.61397E+14,3.15824E+14,-4.56952E+14,-6.27647E+14,2.01605E+14,-1.91318E+13,1
36,-1.76284E+14,-6.94184E+14,3.98354E+14,7.91066E+14,0,9.37454E+14,0,0,-1.67427E+14,2.11569E+13,-1.06033E+14,-8.27009E+14,3.60014E+14,-5.0744E+14,1
37,-3.84591E+14,-2.55625E+13,4.57479E+14,3.13188E+14,0,1.34817E+14,1,0,-1.83712E+14,1.33075E+14,-2.68822E+13,-2.54954E+14,-6.1211E+14,7.08165E+14,1
38,-2.72682E+14,5.11853E+14,-2.52021E+13,-3.43894E+14,0,1.28437E+14,1,0,-2.96501E+14,-4.64858E+14,-3.37923E+14,-3.85168E+13,-4.50841E+14,7.05483E+14,1
39,7.8947E+14,6.21492E+14,2.80104E+14,4.92392E+14,0,8.09852E+14,0,0,-2.60811E+14,1.34183E+14,6.44796E+14,-1.11557E+14,-4.62963E+14,-9.22391E+13,1
